"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"1829","Normal/Others","WS/MP18044/2025-2026/235653-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Three CCTV camera has been installed at Lagma (Muhchachti Chowk), covering Ward No. 15 under Dumra Police Station, Sitamarhi, to enhance surveillance and strengthen public safety in the locality.","DEVESH CHANDRA THAKUR","SITAMARHI","17-Dec-2025","Images","N/A","3,75,000"
"1830","Normal/Others","WS/MP18044/2025-2026/235654-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Two  CCTV camera has been installed at Mohandih Mod, covering Ward No. 12 under Dumra Police Station, Sitamarhi, to enhance surveillance and strengthen public safety in the locality.","DEVESH CHANDRA THAKUR","SITAMARHI","17-Dec-2025","Images","N/A","2,50,000"
"1831","Normal/Others","WS/MP18044/2025-2026/235655-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Two  CCTV camera has been installed at Suhai Mod, covering Ward No. 02 under Dumra Police Station, Sitamarhi, to enhance surveillance and strengthen public safety in the locality.","DEVESH CHANDRA THAKUR","SITAMARHI","16-Dec-2025","Images","N/A","2,50,000"
"1832","Normal/Others","WS/MP18044/2025-2026/235674-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Two CCTV cameras have been installed at Kaprual mod, covering Ward No. 06 under Dumra Police Station, Sitamarhi, to enhance surveillance and ensure public safety at this transit point.","DEVESH CHANDRA THAKUR","SITAMARHI","16-Dec-2025","Images","N/A","2,50,000"
"1833","Normal/Others","WS/MP18044/2025-2026/235681-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Three CCTV cameras have been installed at Bahilwara Urf Garha Mod, covering Ward No. 03 under Runisaidpur Police Station, Sitamarhi, to strengthen surveillance and ensure public safety in this transit zone.","DEVESH CHANDRA THAKUR","SITAMARHI","12-Dec-2025","Images","N/A","3,75,000"
"1834","Normal/Others","WS/MP18044/2025-2026/236708-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Two CCTV cameras have been installed at Katra Mod, covering Ward No. 15 under Runisaidpur Police Station, Sitamarhi, to enhance surveillance and ensure public safety at this junction.","DEVESH CHANDRA THAKUR","SITAMARHI","12-Dec-2025","Images","N/A","2,50,000"
"1835","Normal/Others","WS/MP18044/2025-2026/236709-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Three CCTV cameras have been installed at Auarai Mod, covering Wards No. 03 and 04 under Runisaidpur Police Station, Sitamarhi, to enhance surveillance and ensure public safety at this strategic junction.","DEVESH CHANDRA THAKUR","SITAMARHI","12-Dec-2025","Images","N/A","3,75,000"
"1836","Normal/Others","WS/MP18044/2025-2026/236710-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Three CCTV cameras have been installed at Athari Chowk, covering Ward No. 15 under Runisaidpur Police Station, Sitamarhi, to enhance surveillance and ensure public safety at this key junction.","DEVESH CHANDRA THAKUR","SITAMARHI","12-Dec-2025","Images","N/A","3,75,000"
"1837","Normal/Others","WS/MP18044/2025-2026/236711-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Two CCTV cameras have been installed at Kuahi Chowk, covering Ward No. 15 under Runisaidpur Police Station, Sitamarhi, to enhance surveillance and ensure public safety in the area.","DEVESH CHANDRA THAKUR","SITAMARHI","12-Dec-2025","Images","N/A","2,50,000"
"1838","Normal/Others","WS/MP18044/2025-2026/236712-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Two CCTV cameras have been installed at Punuara Chowk, covering Wards No. 06 and 07 under Punaura Police Station, Sitamarhi, to enhance surveillance and ensure public safety at this key junction.","DEVESH CHANDRA THAKUR","SITAMARHI","12-Dec-2025","Images","N/A","2,50,000"
"1839","Normal/Others","WS/MP18044/2025-2026/236713-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","Two CCTV cameras have been installed at Prori Bridge, covering Wards No. 33 and 34 under Punaura Police Station, Sitamarhi, to enhance surveillance and ensure public safety at this strategic crossing.","DEVESH CHANDRA THAKUR","SITAMARHI","12-Dec-2025","Images","N/A","2,50,000"
"1840","Normal/Others","WS/MP18044/2025-2026/240168-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at Suhai Lagma Chowk, in front of D.P.S. School, covering Ward No. 08 under Dumra Police Station, Sitamarhi. This installation aims to enhance surveillance and ensure public safety at this key junction.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1841","Normal/Others","WS/MP18044/2025-2026/240169-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at Suhai Lagma Chowk, adjacent to D.P.S. School, covering Ward No. 09 under Dumra Police Station, Sitamarhi. This installation enhances surveillance and ensures public safety at this key junction","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1842","Normal/Others","WS/MP18044/2025-2026/240170-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed near Laxmi Mahto s residence at the entry point of National Highway 22 NH 22, Suhai Lagma, covering Ward No 10 under Dumra Police Station, Sitamarhi. This strategic location strengthens surveillance and public safety along the highway corridor and adjoining residential zone.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1843","Normal/Others","WS/MP18044/2025-2026/240171-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at ward no. 03 Balua Bazar Cross Road Suhai Lagma under Dumra Police Station, Sitamarhi. These strategic locations strengthen surveillance and public safety across highway corridors and key junctions.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1844","Normal/Others","WS/MP18044/2025-2026/240178-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at Math Chowk, Manik Chowk South, Ward No 02, under Gadha Police Station, Sitamarhi. This strategic location strengthens surveillance and public safety across highway corridors and key junctions.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1845","Normal/Others","WS/MP18044/2025-2026/240179-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at Purana Chowk, Gadha panchyat, Ward No 07, under Gadha Police Station, Sitamarhi. This strategic location strengthens surveillance and public safety across highway corridors and key junctions.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1846","Normal/Others","WS/MP18044/2025-2026/240180-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at Hanuman Mandir,Manik Chowk West, Ward No 05, under Gadha Police Station, Sitamarhi. This strategic location strengthens surveillance and public safety across key junctions.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1847","Normal/Others","WS/MP18044/2025-2026/240181-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at Manik Chowk Bazar, Manik Chowk North, Ward No 12, under Gadha Police Station, Sitamarhi. This strategic location strengthens surveillance and public safety across key junctions.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1848","Normal/Others","WS/MP18044/2025-2026/240182-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed at Lalpur Chowk, Lalpur Panchyat, Ward No 05, under Gadha Police Station, Sitamarhi. This strategic location strengthens surveillance and public safety across  key junctions.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1849","Normal/Others","WS/MP18044/2025-2026/240183-Providing CCTV camera system for security of public areas","Bihar","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","One CCTV camera has been installed near the residence of Late Ram Manohar Sharma at Suhai Lagma, Ward No 08, under Dumra Police Station, Sitamarhi. This strategic location strengthens surveillance and public safety across key junctions.","DEVESH CHANDRA THAKUR","SITAMARHI","30-Jan-2026","Images","N/A","1,25,000"
"1850","Normal/Others","WS/MP18222/2025-2026/253154-Providing CCTV camera system for security of public areas","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Constituency Jaunpur Me 13 Sarvjanik Place par CCTV Camera Ka Installation Work","BABU SINGH KUSHWAHA","JAUNPUR","09-Mar-2026","Images","N/A","4,93,854"
"1851","Normal/Others","WS/MP18228/2025-2026/257083-Providing CCTV camera system for security of public areas","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Mere sansadiy kshetra Machhalishahr ke vidhansabha Zafrabad nagar panchayat me CCTV Camera ka adhishthapan ka kary hona hain kul 25 sthano pe hona sunushchit hua jo vivran ki file attach hai sath me","PRIYA SAROJ","MACHHLISHAHR(SC)","09-Mar-2026","N/A","N/A","9,97,000"
"1852","Normal/Others","WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school bajakhana main","SARABJEET SINGH KHALSA","FARIDKOT(SC)","30-Oct-2024","N/A","N/A","3,00,000"
"1853","Normal/Others","WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Gondara","SARABJEET SINGH KHALSA","FARIDKOT(SC)","30-Aug-2024","N/A","N/A","3,00,000"
"1854","Normal/Others","WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","3,00,000"
"1855","Normal/Others","WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Rauwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","30-Sep-2024","N/A","N/A","3,00,000"
"1856","Normal/Others","WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","30-Sep-2024","N/A","N/A","3,00,000"
"1857","Normal/Others","WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","31-Aug-2024","N/A","N/A","3,00,000"
"1858","Normal/Others","WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Okandwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1859","Normal/Others","WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd","SARABJEET SINGH KHALSA","FARIDKOT(SC)","30-Aug-2024","N/A","N/A","3,00,000"
"1860","Normal/Others","WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","3,00,000"
"1861","Normal/Others","WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Cycle Shed in Govt Primary school Lambwali","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","1,97,304"
"1862","Normal/Others","WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,98,940"
"1863","Normal/Others","WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Two Interactive panel for Smart Class in Govt High school Dhimanwali","SARABJEET SINGH KHALSA","FARIDKOT(SC)","31-Oct-2024","N/A","N/A","2,50,000"
"1864","Normal/Others","WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in  Punalur Constituency (ST)","Shri NK Premachandran","KOLLAM","27-Sep-2024","Images","N/A","47,40,188"
"1865","Normal/Others","WS/MP18253/2024-2025/136743-Construction of rooms and halls in school and colleges","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","CONSTRUCTION OF ADDITIONAL CLASS ROOM AT SHIBANI MANDAL MAHAVIDYALAYA NAMKHANA","BAPI HALDAR","MATHURAPUR(SC)","10-Sep-2025","N/A","N/A","10,16,871"
"1866","Normal/Others","WS/MP468/2024-2025/137550-Construction of rooms and halls in school and colleges","Uttar Pradesh","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Construction of Laboratory room at Smt. Bhagwati Devi Thapak Inter College Sakrar Block Bangra.","Anurag Sharma","JHANSI","20-Dec-2025","Images","N/A","4,98,365"
"1867","Normal/Others","WS/MP18152/2024-2025/137631-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1868","Normal/Others","WS/MP18152/2024-2025/137637-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid-day meal Shed in Govt Primary school Dana romana","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1869","Normal/Others","WS/MP18152/2024-2025/137640-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Midday meal Shed in Govt Primary school Dod Main","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1870","Normal/Others","WS/MP18152/2024-2025/137641-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid-day meal Shed in Govt primary School","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1871","Normal/Others","WS/MP745/2025-2026/138568-Construction of rooms and halls in school and colleges","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Construction of Two classroom building at ward no.14 Periyar colony MMS - Triruppur corporation","K Subbarayan","TIRUPPUR","11-Feb-2026","Images","N/A","32,45,416"
"1872","Normal/Others","WS/MP347/2024-2025/138959-Construction of rooms and halls in school and colleges","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of Open Air auditorium to Eswaravilasom UPS, Madanthacode in Kareepra Grama Panchayath","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","10-Feb-2026","N/A","N/A","9,04,595"
"1873","Normal/Others","WS/MP823/2024-2025/139556-Construction of rooms and halls in school and colleges","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Decoration of Smart Class Room at Asannagar MMT College under Asannagar GP, Block Krishnagar-I, Nadia.","Ms Mahua Moitra","KRISHNANAGAR","30-Jan-2026","Images","N/A","19,38,436"
"1874","Normal/Others","WS/MP18165/2024-2025/140304-Construction of rooms and halls in school and colleges","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","sanaganer ward 68 ka govt sr. sec. school manyawas ma room","MANJU SHARMA","JAIPUR","17-Feb-2026","Images","N/A","7,58,307"
"1875","Normal/Others","WS/MP243/2024-2025/141117-Construction of rooms and halls in school and colleges","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","School classroom","Kakoli Ghosh Dastidar","BARASAT","19-Feb-2026","Images","N/A","9,99,911"
"1876","Normal/Others","WS/MP18152/2024-2025/141187-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of cycle shed at govt high school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","10-Jun-2025","N/A","N/A","2,99,275"
"1877","Normal/Others","WS/MP18152/2024-2025/141188-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid day meal shed at govt high school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","10-Jun-2025","N/A","N/A","3,00,000"
"1878","Normal/Others","WS/MP18152/2024-2025/141219-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid day meal shed at govt Primary school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1879","Normal/Others","WS/MP18152/2024-2025/141220-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid day meal shed at govt Primary school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1880","Normal/Others","WS/MP18152/2024-2025/141221-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid day meal shed at govt Primary school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","09-Jun-2025","N/A","N/A","2,99,155"
"1881","Repair and Renovation","WS/MP386/2024-2025/142231-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Complete repair work of school building of GUPS Indokali (GP-roon)","Shri Hanuman Beniwal","NAGAUR","17-Jun-2025","Images","N/A","4,99,000"
"1882","Normal/Others","WS/MP386/2024-2025/142232-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of incomplete verandah of four rooms at Govt SS School,Balaya","Shri Hanuman Beniwal","NAGAUR","06-Mar-2026","N/A","N/A","4,00,000"
"1883","Normal/Others","WS/MP386/2024-2025/142233-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","RCC construction at prayer venue stage in Govt SS School Balaya","Shri Hanuman Beniwal","NAGAUR","06-Mar-2026","N/A","N/A","6,00,000"
"1884","Normal/Others","WS/MP386/2024-2025/142246-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of four walls and Main Gate in Govt SS School,Asawari","Shri Hanuman Beniwal","NAGAUR","05-Mar-2026","Images","N/A","3,50,000"
"1885","Normal/Others","WS/MP386/2024-2025/142404-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Repairing of four walls and Construction of Main Gate in Govt Primary School,Charnisara","Shri Hanuman Beniwal","NAGAUR","24-Jul-2025","Images","N/A","1,99,869"
"1886","Normal/Others","WS/MP386/2024-2025/142432-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of One Class Room in Govt.Primary School Gujro ki dhani (Dhangdo ki ) in Village Rol Chandawta","Shri Hanuman Beniwal","NAGAUR","28-Jul-2025","N/A","N/A","6,99,880"
"1887","Normal/Others","WS/MP386/2024-2025/142441-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Repairing  of four walls and  Main Gate in Govt UPS Isharnawda No.02 GP-Papasani","Shri Hanuman Beniwal","NAGAUR","05-Jan-2026","Images","N/A","2,44,140"
"1888","Repair and Renovation","WS/MP386/2024-2025/142442-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of Floor and Plaster work on Walls and Painting works in Govt SS School Hempura-Chauthina","Shri Hanuman Beniwal","NAGAUR","05-Aug-2025","Images","N/A","4,97,650"
"1889","Normal/Others","WS/MP18346/2024-2025/142469-Construction of rooms and halls in school and colleges","Uttar Pradesh","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","Construction of a classroom at Madarsa Darul Uloom Habbiya Gulshan-E-Razalil Bannat, Anwar Nagar, Rae Bareli on the request of Shri Hafiz Anees, Manager, Mob- 9415118181","RAHUL GANDHI","RAE BARELI","17-Nov-2025","N/A","N/A","5,00,000"
"1890","Normal/Others","WS/MP18346/2024-2025/142470-Construction of rooms and halls in school and colleges","Uttar Pradesh","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","Construction of a classroom at Karpoori Thakur H.S. School, Surajkunda, Rahi, Rae Bareli on the request of Shri Hariom Sharma, Manager, Mob- 7275170080","RAHUL GANDHI","RAE BARELI","29-Sep-2025","N/A","N/A","5,00,000"
"1891","Normal/Others","WS/MP386/2024-2025/142534-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of Digital Library In Govt.S.S. School,Nagri","Shri Hanuman Beniwal","NAGAUR","17-Nov-2025","N/A","N/A","14,99,921"
"1892","Trust and Society","WS/MP18199/2024-2025/142779-Construction of rooms and halls in school and colleges","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","RAM CHARAN RAM AWADH SMARAK INTER COLLEGE BHIKHUPUR AKBARPUR AMBEDKAR NAGAR","LALJI VERMA","AMBEDKAR NAGAR","20-Nov-2025","N/A","N/A","5,00,000"
"1893","Normal/Others","WS/MP18215/2024-2025/143114-Construction of rooms and halls in school and colleges","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","kisan school inter college , kalyanpur, haringtonganj block construction of library room.","AWADHESH PRASAD","FAIZABAD","13-Jan-2026","Images","N/A","9,18,944"
"1894","Normal/Others","WS/MP18309/2024-2025/143138-Construction of rooms and halls in school and colleges","Meghalaya","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","extension of class room for christian boys school at tura","SALENG A SANGMA","TURA","17-Jun-2025","Images","N/A","10,00,000"
"1895","Normal/Others","WS/MP386/2024-2025/145024-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of Digital Library in Govt.SS School,Gowa Kalan","Shri Hanuman Beniwal","NAGAUR","18-Dec-2025","N/A","N/A","13,94,330"
"1896","Trust and Society","WS/MP574/2025-2026/145476-Construction of rooms and halls in school and colleges","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda","Bharatsinhji Shankarji Dabhi","PATAN","08-Jan-2026","Images","N/A","5,00,000"
"1897","Trust and Society","WS/MP574/2025-2026/145479-Construction of rooms and halls in school and colleges","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda","Bharatsinhji Shankarji Dabhi","PATAN","08-Jan-2026","Images","N/A","5,00,000"
"1898","Trust and Society","WS/MP574/2025-2026/145482-Construction of rooms and halls in school and colleges","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda","Bharatsinhji Shankarji Dabhi","PATAN","08-Jan-2026","Images","N/A","5,00,000"
"1899","Trust and Society","WS/MP574/2025-2026/145489-Construction of rooms and halls in school and colleges","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Construction of new room of Shree Chamunda Kanya Vidyalaya- Dabhoda managed By Gujarat Kshatriya Thakor Samaj Vikas Manch - Dabhoda","Bharatsinhji Shankarji Dabhi","PATAN","08-Jan-2026","Images","N/A","5,00,000"
"1900","Repair and Renovation","WS/MP18048/2024-2025/145569-Construction of rooms and halls in school and colleges","Chhattisgarh","SUKMA(Collector Sukma_IDA)","chhindgarh higher secondary school bhavan marammat karya","MAHESH KASHYAP","BASTAR(ST)","22-Jan-2026","Images","N/A","4,83,119"
"1901","Normal/Others","WS/MP526/2024-2025/146045-Construction of rooms and halls in school and colleges","Andhra Pradesh","Y.S.R.(DISTRICT COLLECTOR CUDDAPAH_IDA)","Flooring with Granite stone to First Floor Left side Wing corridor and Class rooms to Govt. Polytechnic College at Kamalapuram (V&M) in YSR District","Y S Avinash Reddy","KADAPA","02-Feb-2026","Images","N/A","4,88,925"
"1902","Normal/Others","WS/MP526/2024-2025/146046-Construction of rooms and halls in school and colleges","Andhra Pradesh","Y.S.R.(DISTRICT COLLECTOR CUDDAPAH_IDA)","Flooring with Granite stone to First Floor Wing Corridor and Class rooms to Govt. Polytechnic College at Kamalapuram (V&M) in YSR District","Y S Avinash Reddy","KADAPA","02-Feb-2026","Images","N/A","4,95,394"
"1903","Normal/Others","WS/MP526/2024-2025/146047-Construction of rooms and halls in school and colleges","Andhra Pradesh","Y.S.R.(DISTRICT COLLECTOR CUDDAPAH_IDA)","Flooring with Granite stone to First Floor Right side Wing Corridor and Class rooms to Govt. Polytechnic College at Kamalapuram (V&M) in YSR District","Y S Avinash Reddy","KADAPA","02-Feb-2026","Images","N/A","4,95,178"
